instance_id,city_id,cluster_pattern,scale,instance_seed,lower_bound,upper_bound,gap,status,bks_technicians,bks_travel_time_min,bks_waiting_time_min,method,run_seed,source_run_seeds,validator_status,solution_file,solution_sha256,dataset_release,source_reference_batch
GISB-CKG-CH-100-S078,CKG,CH,100,78,1,1,0,K-OPT,1,822.247598,27.546062,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CH-100-S078_solution.csv,cf1e3bf301f90bc7314d4c07ab204c15cba2032703c285c959cc8bb2f484fd72,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-100-S090,CKG,CH,100,90,1,1,0,K-OPT,1,1013.210575,157.933603,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CH-100-S090_solution.csv,33b4f186f69f4990a90663ff41f5bb27a1e232016e0fbeee7e239223074c1a0f,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-1000-S012,CKG,CH,1000,12,5,7,2,K-OPEN,7,12261.233405,962.861314,IGA,202.0,202,PASS,solutions/GISB-CKG-CH-1000-S012_solution.csv,6e783fe3dd34fe4858ee5a116ab21c26c98178dc4fdf801ac4773045f9a282a9,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-1000-S034,CKG,CH,1000,34,5,7,2,K-OPEN,7,12224.036405,387.254996,IGA,404.0,404,PASS,solutions/GISB-CKG-CH-1000-S034_solution.csv,d1b2daa84d3f8083f76412f63daec610c14f77beebb4139a2b0b8ab7b08b84da,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-1000-S056,CKG,CH,1000,56,5,7,2,K-OPEN,7,12830.900719,227.595799,IGA,404.0,404,PASS,solutions/GISB-CKG-CH-1000-S056_solution.csv,ea6a7b505dc4e0420397ae7315bf0af61fdc13701fd7107cdd9d96d79562e4e9,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-1000-S078,CKG,CH,1000,78,5,7,2,K-OPEN,7,12371.351258,895.860659,IGA,404.0,404,PASS,solutions/GISB-CKG-CH-1000-S078_solution.csv,2acc69073b2d10382ac924dd5740f7a237610e18421603ed46d94062b276c8e3,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-1000-S090,CKG,CH,1000,90,5,7,2,K-OPEN,7,13041.383357,449.691289,IGA,404.0,404,PASS,solutions/GISB-CKG-CH-1000-S090_solution.csv,d0cce94e33ba8e8e615a9daba0ae4b248b47f9cd4b07628d8ac62a3c9387440b,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-500-S012,CKG,CH,500,12,3,4,1,K-OPEN,4,6177.165643,432.593836,IGA,101.0,101,PASS,solutions/GISB-CKG-CH-500-S012_solution.csv,17094564e2dc1553902788b7a0a3fa7c7a662587889910f9c1a16fc0bc74a16c,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-500-S034,CKG,CH,500,34,3,4,1,K-OPEN,4,6236.627775,32.722429,IGA,505.0,505,PASS,solutions/GISB-CKG-CH-500-S034_solution.csv,61a68258efd0515a19368ebed0c4c91d4c605f84565a2e3d0a340054f5710c77,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-500-S056,CKG,CH,500,56,3,4,1,K-OPEN,4,6411.982594,310.511779,IGA,202.0,202,PASS,solutions/GISB-CKG-CH-500-S056_solution.csv,18213fc56cfce070bfb34f3d11b76a7e540a61d259feec700782060ac30d3f0f,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-500-S078,CKG,CH,500,78,3,4,1,K-OPEN,4,6420.415916,64.870347,IGA,101.0,101,PASS,solutions/GISB-CKG-CH-500-S078_solution.csv,4d7441db9a49f9a96bc0f98425e42839ef18872919f6a2fb1d3711283a198c12,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CH-500-S090,CKG,CH,500,90,3,4,1,K-OPEN,4,6392.151984,318.448434,IGA,101.0,101,PASS,solutions/GISB-CKG-CH-500-S090_solution.csv,c0f568deeece5fe763b6fc0d33a65ebe1c13c8a5be14c103875876e54bb35252,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-100-S012,CKG,CU,100,12,1,1,0,K-OPT,1,858.253206,0.0,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CU-100-S012_solution.csv,ee9693a76c3ffcf5212104dcb5d2ae0b99ec87f0ad13a1a411eb7a7192285881,GIS-B-ME-v1.0,20260909_reference_after_small45
