city_code,building_anchor_id,legacy_building_id,building_osm_id,geometry_hausdorff_degrees
BJS,B00411,way/28482,way/1318118823,7.105427357601002e-15
BJS,B00412,way/28467,way/1318117922,7.105427357601002e-15
BJS,B00413,way/21928,way/891798993,1.4210854715202004e-14
BJS,B00414,way/18104,way/666612980,1.5888218580782548e-14
BJS,B00415,way/24052,way/984691472,1.5888218580782548e-14
BJS,B00416,way/11530,way/520617070,1.5888218580782548e-14
BJS,B00417,way/2039,way/228041540,1.5888218580782548e-14
BJS,B00418,way/20780,way/764592187,1.4210854715202004e-14
BJS,B00419,way/15592,way/637263536,1.4210854715202004e-14
BJS,B00420,way/15753,way/637263731,1.4210854715202004e-14
BJS,B00421,way/6775,way/442376449,1.5888218580782548e-14
BJS,B00422,way/18971,way/695936575,1.5888218580782548e-14
BJS,B00423,way/25053,way/1038258685,1.4210854715202004e-14
BJS,B00424,way/4680,way/341696863,1.5888218580782548e-14
BJS,B00425,way/11797,way/520818051,1.4210854715202004e-14
BJS,B00426,way/11340,way/520616779,1.5888218580782548e-14
BJS,B00427,way/8372,way/477934713,1.5888218580782548e-14
BJS,B00428,way/9978,way/479265505,1.4210854715202004e-14
BJS,B00429,way/23957,way/978677607,1.4210854715202004e-14
BJS,B00430,way/28809,way/1318378561,1.5888218580782548e-14
BJS,B00431,way/13285,way/567892328,2.0097183471152322e-14
BJS,B00432,way/28126,way/1318092951,2.0097183471152322e-14
BJS,B00433,way/24891,way/1030346276,1.4210854715202004e-14
BJS,B00434,way/12982,way/532863317,1.5888218580782548e-14
BJS,B00435,way/9593,way/478581607,1.5888218580782548e-14
BJS,B00436,way/18912,way/695932692,1.4210854715202004e-14
BJS,B00437,way/8103,way/477760897,1.5888218580782548e-14
BJS,B00438,way/171,relation/13937476,1.5888218580782548e-14
BJS,B00439,way/15419,way/637242694,1.4210854715202004e-14
BJS,B00440,way/16507,way/638283383,2.0097183471152322e-14
BJS,B00441,way/3352,way/258198523,1.4210854715202004e-14
BJS,B00442,way/6753,way/442188299,1.5888218580782548e-14
BJS,B00443,way/31314,way/1527481959,2.0097183471152322e-14
BJS,B00444,way/25397,way/1082550361,1.4210854715202004e-14
BJS,B00445,way/13743,way/630819867,1.5888218580782548e-14
BJS,B00446,way/11949,way/521039306,1.4210854715202004e-14
